Congregate Meals,Home Meals,NFCSP,Preventive Services,Supportive Services,pop60,scenarioId,scenario,State,Year,Total Title III,id
6068408,2871070,2380884,337809,5403560,839067,1,Allocation proportional to the share of senior pop,Alabama,2006,17061731,1
6109149,2952575,2381708,337926,5405429,863708,1,Allocation proportional to the share of senior pop,Alabama,2007,17186787,1
6125517,3047238,2366349,333171,5405127,891680,1,Allocation proportional to the share of senior pop,Alabama,2008,17277402,1
6625002,3357241,2388721,333168,5511235,910042,1,Allocation proportional to the share of senior pop,Alabama,2009,18215367,1
6769708,3405044,2394015,333168,5655995,936431,1,Allocation proportional to the share of senior pop,Alabama,2010,18557930,1
6728841,3380743,2386588,332502,5610623,973051,1,Allocation proportional to the share of senior pop,Alabama,2011,18439297,1
6686908,3373334,2351563,331874,5571772,989519,1,Allocation proportional to the share of senior pop,Alabama,2012,18315451,1
6068408,3177759,2220390,312653,5347830,1013471,1,Allocation proportional to the share of senior pop,Alabama,2013,17127040,1
6511955,3321462,2206505,311357,5325874,1044134,1,Allocation proportional to the share of senior pop,Alabama,2014,17677153,1
1919299,906082,777878,106594,1746341,71812,1,Allocation proportional to the share of senior pop,Alaska,2006,5456194,2
1983727,936395,779224,106779,1749360,76195,1,Allocation proportional to the share of senior pop,Alaska,2007,5555485,2
2039714,962745,762013,105130,1749717,77608,1,Allocation proportional to the share of senior pop,Alaska,2008,5619319,2
2158368,1065886,766492,105130,1795942,81801,1,Allocation proportional to the share of senior pop,Alaska,2009,5891818,2
2190101,1081558,766267,105130,1830190,90709,1,Allocation proportional to the share of senior pop,Alaska,2010,5973246,2
2186289,1079676,764933,104920,1827011,96770,1,Allocation proportional to the share of senior pop,Alaska,2011,5962829,2
2181871,1077497,763390,104722,1823319,103070,1,Allocation proportional to the share of senior pop,Alaska,2012,5950799,2
2068203,1021362,723620,98657,1728330,104954,1,Allocation proportional to the share of senior pop,Alaska,2013,5640172,2
2169045,1071165,720651,98248,1721234,110959,1,Allocation proportional to the share of senior pop,Alaska,2014,5780343,2
6567487,3492443,2969325,410919,6573030,1064491,1,Allocation proportional to the share of senior pop,Arizona,2006,20013204,4
7169496,3691066,2995882,417051,6671840,1125255,1,Allocation proportional to the share of senior pop,Arizona,2007,20945335,4
7708885,3892555,3116374,405276,6696182,1176857,1,Allocation proportional to the share of senior pop,Arizona,2008,21819272,4
8638621,4377649,3197875,405273,7186334,1207891,1,Allocation proportional to the share of senior pop,Arizona,2009,23805752,4
9021043,4537425,3287930,405273,7536954,1242904,1,Allocation proportional to the share of senior pop,Arizona,2010,24788625,4
8932970,4488153,3227992,404463,7448464,1292431,1,Allocation proportional to the share of senior pop,Arizona,2011,24502042,4
