pop60,Total Title III,Year,State,id
0.02937,0.00733,2007,Alabama,1
0.06103,0.01820,2007,Alaska,2
0.05708,0.04658,2007,Arizona,4
0.03419,0.00723,2007,Arkansas,5
0.03330,0.02441,2007,California,6
0.05045,0.04002,2007,Colorado,8
0.01802,0.00643,2007,Connecticut,9
0.03486,0.01820,2007,Delaware,10
-0.01873,0.01820,2007,District of Columbia,11
0.03166,0.03203,2007,Florida,12
0.05589,0.04075,2007,Georgia,13
0.03336,0.01424,2007,Hawaii,15
0.04688,0.01606,2007,Idaho,16
0.02692,0.00650,2007,Illinois,17
0.02622,0.00688,2007,Indiana,18
0.01180,0.00626,2007,Iowa,19
0.02388,0.00671,2007,Kansas,20
0.03221,0.00766,2007,Kentucky,21
0.01013,0.00720,2007,Louisiana,22
0.03736,0.00905,2007,Maine,23
0.03544,0.02690,2007,Maryland,24
0.01763,0.00572,2007,Massachusetts,25
0.03318,0.00709,2007,Michigan,26
0.03020,0.00780,2007,Minnesota,27
0.01422,0.00786,2007,Mississippi,28
0.03735,0.00723,2007,Missouri,29
0.00627,0.01820,2007,Montana,30
0.02946,0.00693,2007,Nebraska,31
0.05695,0.05103,2007,Nevada,32
0.02570,0.01571,2007,New Hampshire,33
0.02095,0.00627,2007,New Jersey,34
0.04289,0.03646,2007,New Mexico,35
0.02414,0.00687,2007,New York,36
0.05539,0.03292,2007,North Carolina,37
0.00753,0.01820,2007,North Dakota,38
0.02518,0.00591,2007,Ohio,39
0.03285,0.00742,2007,Oklahoma,40
0.05189,0.01982,2007,Oregon,41
0.02050,0.00550,2007,Pennsylvania,42
0.00404,0.01247,2007,Rhode Island,44
0.04372,0.03838,2007,South Carolina,45
0.03821,0.01820,2007,South Dakota,46
0.04582,0.00938,2007,Tennessee,47
0.04445,0.03653,2007,Texas,48
0.03339,0.01798,2007,US Total,49
0.05579,0.03459,2007,Utah,50
0.01320,0.01820,2007,Vermont,51
0.04564,0.03418,2007,Virginia,53
0.05452,0.03736,2007,Washington,54
0.01274,0.00588,2007,West Virginia,55
0.03526,0.00735,2007,Wisconsin,56
0.02341,0.01820,2007,Wyoming,US
0.01264,0.06270,2008,Alabama,1
0.02990,0.08071,2008,Alaska,2
0.09024,0.10556,2008,Arizona,4
0.01187,0.06968,2008,Arkansas,5
0.04180,0.06914,2008,California,6
0.07917,0.10509,2008,Colorado,8
-0.00222,0.04259,2008,Connecticut,9
0.02990,0.08017,2008,Delaware,10
0.02990,0.02240,2008,District of Columbia,11
0.05574,0.06039,2008,Florida,12
0.09743,0.10077,2008,Georgia,13
0.02589,0.06270,2008,Hawaii,15
0.02773,0.08525,2008,Idaho,16
0.00507,0.04681,2008,Illinois,17
0.00715,0.06380,2008,Indiana,18
0.00348,0.03858,2008,Iowa,19
0.00430,0.05079,2008,Kansas,20
0.01346,0.07227,2008,Kentucky,21
-0.00140,0.06285,2008,Louisiana,22
0.01309,0.07092,2008,Maine,23
0.04000,0.05972,2008,Maryland,24
0.00149,0.04482,2008,Massachusetts,25
0.00507,0.05126,2008,Michigan,26
0.00736,0.06405,2008,Minnesota,27
0.01193,0.04006,2008,Mississippi,28
0.00681,0.05086,2008,Missouri,29
0.02990,0.05980,2008,Montana,30
0.00449,0.05668,2008,Nebraska,31
0.07762,0.09357,2008,Nevada,32
0.02738,0.07214,2008,New Hampshire,33
0.00052,0.04035,2008,New Jersey,34
0.05938,0.09485,2008,New Mexico,35
0.00450,0.05814,2008,New York,36
0.06631,0.08458,2008,North Carolina,37
0.02990,0.02376,2008,North Dakota,38
0.00318,0.05076,2008,Ohio,39
0.00925,0.05028,2008,Oklahoma,40
0.04865,0.10114,2008,Oregon,41
-0.00127,0.03830,2008,Pennsylvania,42
0.02410,0.01755,2008,Rhode Island,44
0.07734,0.09197,2008,South Carolina,45
0.02990,0.07663,2008,South Dakota,46
0.03792,0.08581,2008,Tennessee,47
0.06671,0.08757,2008,Texas,48
0.02946,0.06555,2008,US Total,49
0.08370,0.11313,2008,Utah,50
0.02990,0.06946,2008,Vermont,51
0.05752,0.08281,2008,Virginia,53
