Congregate Meals,Home Meals,NFCSP,Preventive Services,Supportive Services,pop60,scenarioId,scenario,State,Year,Total Title III,id
6491586,3314409,2210499,312641,5347831,992442,1,Allocation proportional to the share of senior pop,Alabama,2015,17676966,1
6630460,3437786,2273071,311357,5325874,1044134,1,Allocation proportional to the share of senior pop,Alabama,2016,17978548,1
6828478,3449946,2295259,302526,5295945,1044134,1,Allocation proportional to the share of senior pop,Alabama,2017,18172154,1
6828477,3449946,2295259,302526,5295945,1044134,1,Allocation proportional to the share of senior pop,Alabama,2018,18172153,1
6828477,3449946,2295259,302526,5295944,1044134,1,Allocation proportional to the share of senior pop,Alabama,2019,18172152,1
2177988,1075581,723622,98653,1728330,101962,1,Allocation proportional to the share of senior pop,Alaska,2015,5804174,2
2219293,1120393,745401,98248,1721234,110959,1,Allocation proportional to the share of senior pop,Alaska,2016,5904569,2
2219292,1120392,745400,98247,1721233,110959,1,Allocation proportional to the share of senior pop,Alaska,2017,5904564,2
2217705,1120392,745400,98247,1719981,110959,1,Allocation proportional to the share of senior pop,Alaska,2018,5901725,2
2217600,1120392,745400,98247,1719898,110959,1,Allocation proportional to the share of senior pop,Alaska,2019,5901537,2
8987114,4588551,3171015,380303,6505241,1345111,1,Allocation proportional to the share of senior pop,Arizona,2015,23632224,4
9321402,4832995,3337314,378742,6478530,1453606,1,Allocation proportional to the share of senior pop,Arizona,2016,24348983,4
9506362,4802892,3195378,421167,7372825,1453606,1,Allocation proportional to the share of senior pop,Arizona,2017,25298624,4
9506362,4802892,3195378,421166,7372825,1453606,1,Allocation proportional to the share of senior pop,Arizona,2018,25298623,4
9506362,4802891,3195377,421166,7372824,1453606,1,Allocation proportional to the share of senior pop,Arizona,2019,25298620,4
4163564,2057220,1406669,198548,3464889,615931,1,Allocation proportional to the share of senior pop,Arkansas,2015,11290890,5
4163564,2123029,1442327,197733,3450663,642272,1,Allocation proportional to the share of senior pop,Arkansas,2016,11377316,5
4200361,2122145,1411869,186091,3257663,642272,1,Allocation proportional to the share of senior pop,Arkansas,2017,11178129,5
4200361,2122145,1411869,186091,3257663,642272,1,Allocation proportional to the share of senior pop,Arkansas,2018,11178129,5
4200361,2122145,1411869,186091,3257663,642272,1,Allocation proportional to the share of senior pop,Arkansas,2019,11178129,5
43618817,22270459,14793851,2000665,34222266,6585577,1,Allocation proportional to the share of senior pop,California,2015,116906058,6
45080598,23373558,15350031,1992449,34081746,7089458,1,Allocation proportional to the share of senior pop,California,2016,119878382,6
46363980,23424438,15584348,2054095,35958395,7089458,1,Allocation proportional to the share of senior pop,California,2017,123385256,6
46363978,23424436,15584346,2054093,35958393,7089458,1,Allocation proportional to the share of senior pop,California,2018,123385246,6
46363976,23424434,15584343,2054091,35958391,7089458,1,Allocation proportional to the share of senior pop,California,2019,123385235,6
6099151,3114043,1914700,240388,4111937,909577,1,Allocation proportional to the share of senior pop,Colorado,2015,15480219,8
6334621,3284398,2000285,239401,4095054,998824,1,Allocation proportional to the share of senior pop,Colorado,2016,15953759,8
6532157,3300237,2195657,289398,5066128,998824,1,Allocation proportional to the share of senior pop,Colorado,2017,17383577,8
6532157,3300236,2195657,289398,5066128,998824,1,Allocation proportional to the share of senior pop,Colorado,2018,17383576,8
