Congregate Meals,Home Meals,NFCSP,Preventive Services,Supportive Services,pop60,scenarioId,scenario,scenarioDesc,State,Year,Total Title III,id
138874,123377,62572,-1284,-1284,51692,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Alabama,2016,301582,1
41305,44812,21779,-405,-405,8997,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Alaska,2016,100395,2
334288,244444,166299,-1561,-1561,108495,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Arizona,2016,716759,4
0,65809,35658,-815,-815,26341,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Arkansas,2016,86426,5
1461781,1103099,556180,-8216,-8216,503881,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,California,2016,2972324,6
235470,170355,85585,-987,-987,89247,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Colorado,2016,473540,8
0,77592,29197,-1006,-1006,28393,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Connecticut,2016,87886,9
41305,44812,21779,-405,-405,13321,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Delaware,2016,100395,10
41305,44812,21779,-405,-405,3229,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,District of Columbia,2016,100395,11
957029,742230,449206,-6001,-6001,325419,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Florida,2016,2039812,12
368228,278615,158617,-1879,-1879,138625,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Georgia,2016,771441,13
41305,44812,21779,-405,-405,18516,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Hawaii,2016,100395,15
41305,44812,21779,-405,-405,29224,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Idaho,2016,100395,16
0,288186,107145,-3241,-3241,127686,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Illinois,2016,333068,17
177533,157902,61639,-1645,-1645,67955,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Indiana,2016,367279,18
0,71797,19667,-895,-895,26889,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Iowa,2016,73255,19
0,68043,25274,-739,-739,33494,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Kansas,2016,78629,20
125020,110584,49917,-1127,-1127,45012,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Kentucky,2016,265128,21
