pop60,Total Title III,Year,State,id,scenarioId,,,,
0.2444,0.0361,2014,Alabama,1,1,,,,
0.5451,0.0594,2014,Alaska,2,1,,,,
0.3655,0.1689,2014,Arizona,4,1,,,,
0.2119,0.0059,2014,Arkansas,5,1,,,,
0.3193,0.0984,2014,California,6,1,,,,
0.4627,0.2107,2014,Colorado,8,1,,,,
0.2120,-0.0107,2014,Connecticut,9,1,,,,
0.3206,0.0594,2014,Delaware,10,1,,,,
0.0972,0.0594,2014,District of Columbia,11,1,,,,
0.2676,0.0898,2014,Florida,12,1,,,,
0.3848,0.1871,2014,Georgia,13,1,,,,
0.2979,0.0553,2014,Hawaii,15,1,,,,
0.4174,0.0572,2014,Idaho,16,1,,,,
0.2212,-0.0045,2014,Illinois,17,1,,,,
0.2486,0.0148,2014,Indiana,18,1,,,,
0.1888,-0.0108,2014,Iowa,19,1,,,,
0.2378,-0.0057,2014,Kansas,20,1,,,,
0.2439,0.0289,2014,Kentucky,21,1,,,,
0.2527,-0.0014,2014,Louisiana,22,1,,,,
0.3008,0.0439,2014,Maine,23,1,,,,
0.2923,0.0922,2014,Maryland,24,1,,,,
0.2305,-0.0076,2014,Massachusetts,25,1,,,,
0.2589,0.0211,2014,Michigan,26,1,,,,
0.2973,0.0397,2014,Minnesota,27,1,,,,
0.2108,0.0051,2014,Mississippi,28,1,,,,
0.2380,0.0029,2014,Missouri,29,1,,,,
0.3397,0.0594,2014,Montana,30,1,,,,
0.2283,-0.0049,2014,Nebraska,31,1,,,,
0.4256,0.1962,2014,Nevada,32,1,,,,
0.3187,0.0568,2014,New Hampshire,33,1,,,,
0.1978,-0.0114,2014,New Jersey,34,1,,,,
0.3558,0.1474,2014,New Mexico,35,1,,,,
0.1869,-0.0092,2014,New York,36,1,,,,
0.3623,0.1626,2014,North Carolina,37,1,,,,
0.2129,0.0594,2014,North Dakota,38,1,,,,
0.2258,-0.0024,2014,Ohio,39,1,,,,
0.2188,0.0031,2014,Oklahoma,40,1,,,,
0.3880,0.1309,2014,Oregon,41,1,,,,
0.1910,-0.0175,2014,Pennsylvania,42,1,,,,
0.1709,0.0534,2014,Rhode Island,44,1,,,,
0.3743,0.1723,2014,South Carolina,45,1,,,,
0.2499,0.0594,2014,South Dakota,46,1,,,,
0.2982,0.0992,2014,Tennessee,47,1,,,,
0.3724,0.1521,2014,Texas,48,1,,,,
0.3792,0.1555,2014,Utah,49,1,,,,
0.2939,0.0594,2014,Vermont,50,1,,,,
0.3193,0.1224,2014,Virginia,51,1,,,,
0.3706,0.1573,2014,Washington,53,1,,,,
0.2182,0.0005,2014,West Virginia,54,1,,,,
0.2758,0.0106,2014,Wisconsin,55,1,,,,
0.3554,0.0594,2014,Wyoming,56,1,,,,
0.2722,0.0361,2015,Alabama,1,1,,,,
0.6176,0.0638,2015,Alaska,2,1,,,,
0.3976,0.1808,2015,Arizona,4,1,,,,
0.2381,0.0060,2015,Arkansas,5,1,,,,
0.3455,0.1065,2015,California,6,1,,,,
0.5034,0.2296,2015,Colorado,8,1,,,,
0.2465,-0.0104,2015,Connecticut,9,1,,,,
0.3663,0.0638,2015,Delaware,10,1,,,,
0.1076,0.0638,2015,District of Columbia,11,1,,,,
0.2828,0.0957,2015,Florida,12,1,,,,
0.4209,0.1984,2015,Georgia,13,1,,,,
0.3353,0.0596,2015,Hawaii,15,1,,,,
0.4513,0.0615,2015,Idaho,16,1,,,,
0.2454,-0.0034,2015,Illinois,17,1,,,,
0.2784,0.0161,2015,Indiana,18,1,,,,
0.2154,-0.0114,2015,Iowa,19,1,,,,
0.2570,-0.0053,2015,Kansas,20,1,,,,
0.2785,0.0295,2015,Kentucky,21,1,,,,
0.2809,0.0001,2015,Louisiana,22,1,,,,
0.3428,0.0485,2015,Maine,23,1,,,,
0.3305,0.0989,2015,Maryland,24,1,,,,
0.2511,-0.0062,2015,Massachusetts,25,1,,,,
